id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1914615260,Arlington Field 1,t,Arlington Park,Diamond Only,0,Skinned,160,230,290,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,40.41831418,-79.97500679
1151740179,Armstrong,f,Armstrong Park,Diamond and Rectangular,0,Skinned,240,163,122,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42807417,-79.98566223
971009139,Bandbox,f,Arsenal Park,Diamond Only,0,Skinned,135,200,150,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46633089,-79.96129932
1581124728,Banksville,f,Banksville Park,Diamond Only,0,Skinned,304,354,373,Banksville,2,20,42003202300,5,20,6,9-Apr,40.41392315,-80.03993982
1052125703,Banksville School,t,Banksville School Park,Diamond Only,0,Skinned,180,175,185,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40705882,-80.03787026
332143201,Bill Stoltz,t,Arlington Park,Diamond Only,0,Skinned,210,250,240,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,40.41862359,-79.97495898
800768920,Brighton Heights Field 1,f,Brighton Heights Park,Diamond Only,0,Skinned,170,170,170,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48858153,-80.03307241
742572488,Brighton Heights Field 2,f,Brighton Heights Park,Diamond Only,0,Skinned,260,375,252,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48815225,-80.032783
183023484,Brighton Heights Field 3 - John Merry,f,Brighton Heights Park,Diamond Only,0,Skinned,310,333,327,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48773906,-80.03253323
228456835,Brighton Heights Field 4,f,Brighton Heights Park,Diamond Only,0,Skinned,196,240,180,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48636583,-80.03122164
2054874405,Brighton Heights Field 5,f,Brighton Heights Park,Diamond Only,0,Skinned,198,198,196,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48603337,-80.03063053
604996899,Brighton Heights Field 6 - Camelius Sangnini,f,Brighton Heights Park,Diamond Only,0,Skinned,198,198,198,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48650188,-80.02986935
1281324044,Bud Hammer,f,Bud Hammer Park,Diamond Only,0,Skinned,182,193,182,Hazelwood,5,15,42003562900,3,15,4,12-Feb,40.42048831,-79.94654735
456911521,Burgwin,t,Burgwin Park,Rectangular Only,1,N/A,NA,NA,NA,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40444837,-79.93733431
72518444,Chadwick,f,Chadwick Park,Rectangular Only,2,N/A,NA,NA,NA,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,18-Mar,40.46566539,-79.89175382
238269429,Chartiers,t,Chartiers Park,Diamond Only,0,Skinned,305,375,375,Windgap,2,28,42003563000,5,28,6,16-Jan,40.45699572,-80.07407273
1324608669,Cowley Field 1,t,Cowley Park,Diamond Only,0,Skinned,248,264,178,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.45846018,-79.98890818
1984325264,Cowley Field 2,t,Cowley Park,Diamond Only,0,Skinned,217,220,170,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.45837879,-79.98939213
1120335247,Dan Marino,t,Frazier Park,Diamond Only,0,Skinned,300,320,300,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.42925285,-79.95468111
1075365641,Danny McGibbeny Memorial Field,f,Brookline Memorial Park,Diamond and Rectangular,2,Skinned,200,197,197,Brookline,4,32,42003320600,5,32,6,26-Apr,40.39161055,-80.00688356
303372721,Devlin,f,Devlin Field,Diamond Only,0,Skinned,292,300,296,Arlington,3,16,42003561600,3,16,3,8-Apr,40.41404879,-79.96234371
140274785,Dilworth Field 1 Lower,t,Emerald View Park - Mt. Washington Park,Diamond Only,0,Skinned,175,170,190,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42436008,-80.01478162
1963449609,Dilworth Field 2 Upper,t,Emerald View Park - Mt. Washington Park,Diamond Only,0,Skinned,165,175,200,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.4245104,-80.01418879
1469969693,Dunbar Field 1,t,Dunbar Park,Diamond Only,0,Skinned,300,400,275,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.43891028,-80.05213701
1230751611,Dunbar Field 2,t,Dunbar Park,Diamond Only,0,Skinned,275,372,235,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.4385953,-80.05252163
1718657420,East Hills,f,East Hills Park,Diamond Only,0,Skinned,255,270,255,East Hills,9,13,42003130600,2,13,5,19-Mar,40.4531361,-79.8695421
195606578,East Liberty Park OMEGA,f,East Liberty Park,Diamond Only,0,Skinned,185,240,200,East Liberty,9,11,42003111500,2,11,5,10-Mar,40.46211314,-79.91874201
1661652882,Farmhouse,f,Highland Park,Diamond Only,0,Skinned,180,180,180,Highland Park,7,11,42003980100,2,11,5,9-Mar,40.47647804,-79.9132423
322672382,Fifty-Seventh St ARCO,f,Fifty-Seventh Street Park,Diamond Only,0,Skinned,183,180,180,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48607414,-79.9463051
1426269763,Fineview,t,Fineview Field,Diamond Only,0,Skinned,274,280,234,Fineview,6,25,42003250900,1,25,1,10-Jan,40.45993808,-80.00425255
961495598,Forbes & Braddock Field 2,f,Frick Park,Diamond Only,0,Skinned,408,362,267,Regent Square,5,14,42003141000,3,14,4,16-Feb,40.43796375,-79.89773276
195772748,Forbes and Braddock Field 1,f,Frick Park,Diamond Only,0,Skinned,370,386,260,Regent Square,5,14,42003141000,3,14,4,16-Feb,40.43846416,-79.89768422
1621765423,Fort Pitt,t,Fort Pitt Park,Rectangular Only,2,N/A,NA,NA,NA,Garfield,9,10,42003101700,2,10,5,4-Mar,40.46943416,-79.9429147
515590406,Fowler,t,Fowler Park,Rectangular Only,2,N/A,NA,NA,NA,Perry South,6,26,42003261400,1,26,1,23-Jan,40.47009849,-80.01017611
1799004578,Gardner,t,Gardner Park,Diamond Only,0,Skinned,264,257,273,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.46161728,-79.98603738
1132072066,Garvin,f,Garvin Park,Diamond Only,0,Skinned,170,175,188,Perry North,1,26,42003260200,1,26,1,15-Jan,40.49260073,-80.01830274
1249582327,Gladstone,f,Gladstone Park,Diamond Only,0,Skinned,250,290,167,Hazelwood,5,15,42003562300,3,15,4,12-Feb,40.4151142,-79.93869253
1961833311,Herschel Field 1 Lower,t,Herschel Park,Diamond and Rectangular,0,Skinned,311,368,350,Elliott,2,20,42003562600,5,20,6,17-Jan,40.43940126,-80.04318168
572722029,Herschel Field 2 Upper,t,Herschel Park,Diamond Only,0,Skinned,180,180,180,Elliott,2,20,42003562600,5,20,6,17-Jan,40.44006787,-80.04430153
912391510,Heth's Field 1,f,Heth's Park,Diamond and Rectangular,0,Skinned,376,315,195,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47720822,-79.92774525
